Species,Quarter,NewControl,Latitude,Longitude,Northing,Easting
prickly pear,2020 - Quarter 1,Both,-24.17613,30.8607,7324611.0512918,282672.873452018
prickly pear,2020 - Quarter 1,Both,-24.17614,30.8607,7324609.94361059,282672.890398056
prickly pear,2020 - Quarter 1,Removed,-24.2219,30.8987,7319599.81523182,286610.634510734
prickly pear,2020 - Quarter 1,Removed,-24.21431,30.89507,7320434.98117347,286229.217524999
prickly pear,2020 - Quarter 1,Both,-24.1801,30.88062,7324202.12958546,284703.791575135
prickly pear,2020 - Quarter 1,Removed,-24.17673,30.87953,7324573.73580801,284587.36966643
prickly pear,2020 - Quarter 1,Both,-24.17734,30.8808,7324508.12427121,284717.448821364
prickly pear,2020 - Quarter 1,Both,-24.17729,30.88091,7324513.83203239,284728.542836996
prickly pear,2020 - Quarter 1,Both,-24.17739,30.88261,7324505.372245211,284901.46066809
prickly pear,2020 - Quarter 1,Both,-24.17755,30.88234,7324487.234020061,284874.292319977
prickly pear,2020 - Quarter 1,Both,-24.17804,30.88247,7324433.15820096,284888.324534901
prickly pear,2020 - Quarter 1,Removed,-24.1787,30.88235,7324359.8672375,284877.237680229
prickly pear,2020 - Quarter 1,Both,-24.17926,30.88202,7324297.32973249,284844.643819853
prickly pear,2020 - Quarter 1,Both,-24.17796,30.87964,7324437.66162144,284600.613645877
prickly pear,2020 - Quarter 1,Both,-24.17767,30.87845,7324467.94989995,284479.201683708
prickly pear,2020 - Quarter 1,Both,-24.18192,30.87571,7323992.96101141,284207.92189088
prickly pear,2020 - Quarter 1,Both,-24.18185,30.87587,7324000.96176329,284224.062372025
prickly pear,2020 - Quarter 1,Both,-24.1844,30.8762,7323719.01417027,284261.886145649
prickly pear,2020 - Quarter 1,Both,-24.18432,30.87615,7323727.79838013,284256.670899639
prickly pear,2020 - Quarter 1,Both,-24.1843,30.87607,7323729.89022454,284248.508250781
prickly pear,2020 - Quarter 1,Both,-24.18427,30.87602,7323733.136056011,284243.377141675
prickly pear,2020 - Quarter 1,Both,-24.1842,30.87602,7323740.88978001,284243.259333275
prickly pear,2020 - Quarter 1,Both,-24.18417,30.87604,7323744.24368191,284245.241094012
prickly pear,2020 - Quarter 1,Both,-24.18668,30.87656,7323467.02002881,284302.30297923
prickly pear,2020 - Quarter 1,Both,-24.18665,30.8767,7323470.55915037,284316.477968349
prickly pear,2020 - Quarter 1,Removed,-24.18774,30.87708,7323350.40908249,284356.923694409
