Title,Date Creat,Latitude,Longitude,Northing,Easting,Descriptio,Biocontrol,Chemical c,Density,Detection,Detectio_1,Notes,Number of,Quarter,Species,Status,timestamp,X,Y,NewQuarter,NewControl
pp (motherload) 5c see if bugs spread Foot,NA,-24.17534,30.85674,7324692.39616157,282269.118463832,NA,-,-,High,Foot,Secondary,bugs should spread,NA,2020 - Quarter 3,prickly pear,NA,NA,30.85674,-24.17534,NA,Untreated
Pp (Motherload) 8c Already Infected With Bugs. See If Bugs Spread Foot,NA,-24.17534,30.85674,7324692.39616157,282269.118463832,NA,cochineal bug,-,High,Foot,Secondary,already infected,NA,2020 - Quarter 3,prickly pear,NA,NA,30.85674,-24.17534,NA,Bio
pp (motherload) 8c see if bugs spread Foot,NA,-24.17534,30.85674,7324692.39616157,282269.118463832,NA,-,-,High,Foot,Secondary,bugs should spread,NA,2020 - Quarter 3,prickly pear,NA,NA,30.85674,-24.17534,NA,Untreated
pp (motherload) dense 5c walk marula bugs revisit monthly,NA,-24.18686,30.85313,7323410.71519251,281921.863516813,NA,cochineal bug,-,High,walk - marula,Tertiary,NA,NA,2020 - Quarter 3,prickly pear,NA,NA,30.85313,-24.18686,NA,Bio
pp (motherload) med 6c bugs walk marula revisit monthly,NA,-24.18681,30.85322,7323416.3940811,281930.923477869,NA,cochineal bug,-,High,walk - marula,Tertiary,NA,NA,2020 - Quarter 3,prickly pear,NA,NA,30.85322,-24.18681,NA,Bio
Pp (Motherload) Med Walk For Marula Bugs 6c,NA,-24.18681,30.85322,7323416.3940811,281930.923477869,NA,cochineal bug,-,High,walk - marula,Tertiary,NA,NA,2020 - Quarter 3,prickly pear,NA,2020-07-22T14:28:17Z,30.85322,-24.18681,2020 - Quarter 3,Bio
Pp (Motherload) Med Walk For Marula Bugs 6c March,NA,-24.18681,30.85322,7323416.3940811,281930.923477869,NA,cochineal bug,-,High,walk - marula,Tertiary,NA,NA,2020 - Quarter 3,prickly pear,NA,2020-07-22T14:28:17Z,30.85322,-24.18681,2020 - Quarter 3,Bio
Pp (Motherload) Very Dense Bugs Walk For Marula 5c,NA,-24.18686,30.85313,7323410.71519251,281921.863516813,NA,cochineal bug,-,High,walk - marula,Tertiary,NA,NA,2020 - Quarter 3,prickly pear,NA,NA,30.85313,-24.18686,NA,Bio
Pp (Motherload) Very Dense Bugs Walk For Marula 5c,NA,-24.18686,30.85313,7323410.71519251,281921.863516813,NA,cochineal bug,-,High,walk - marula,Tertiary,NA,NA,2020 - Quarter 3,prickly pear,NA,2020-07-22T14:30:42Z,30.85313,-24.18686,2020 - Quarter 3,Bio
Pp (Motherload) Walk For Marula. Bugs 5c Revisit Every Month,NA,-24.1868,30.8532,7323417.470555,281928.874237021,NA,cochineal bug,-,High,walk - marula,Tertiary,NA,NA,2020 - Quarter 3,prickly pear,NA,NA,30.8532,-24.1868,NA,Bio
Pp (Motherload) Walk For Marula. Bugs 5c Revisit Every Month,NA,-24.1868,30.8532,7323417.470555,281928.874237021,NA,cochineal bug,-,High,walk - marula,Tertiary,NA,NA,2020 - Quarter 3,prickly pear,NA,2020-07-22T14:28:42Z,30.8532,-24.1868,2020 - Quarter 3,Bio
Pp (Motherload) X3 Med Walk For Marula Bugs 6c revisit monthly,NA,-24.18681,30.85322,7323416.3940811,281930.923477869,NA,cochineal bug,-,High,walk - marula,Tertiary,NA,NA,2020 - Quarter 3,prickly pear,NA,NA,30.85322,-24.18681,NA,Bio
Pp 27th august Update. Precisely Sprayed. Dying Mostly Dead. Sprayed Again,NA,-24.17653,30.86816,7324578.32156135,283431.62958665,NA,-,msma,High,find original,NA,NA,NA,2020 - Quarter 3,prickly pear,NA,NA,30.86816,-24.17653,NA,Chemical
Pp 4c Walk Poo Nursery,NA,-24.19836,30.92988,7322254.55396843,289739.275906074,NA,-,-,Med,walk - poo,Tertiary,nursery,NA,2020 - Quarter 4,prickly pear,NA,2020-11-27T10:39:47Z,30.92988,-24.19836,2020 - Quarter 4,Removed
pp 5c foot nursery,NA,-24.21196,30.9474,7320774.41968681,291541.417935195,NA,-,NA,Med,Foot,Secondary,nursery,NA,2020 - Quarter 3,prickly pear,NA,NA,30.9474,-24.21196,NA,Removed
Pp Already Spray And Bugs. Bugs Didnt Take. Spray Did Some Damage But Rejuvenated. Presence Of Moth,NA,-24.19106,30.84515,7322933.00787371,281118.176083508,NA,cochineal bug,msma,High,Foot,Secondary,NA,NA,2020 - Quarter 2,prickly pear,NA,NA,30.84515,-24.19106,NA,Both
Pp Already Spray And Bugs. Bugs Didnтt Take. Spray Did Some Damage But Rejuvenated. Presence Of Moth,NA,-24.19106,30.84515,7322933.00787371,281118.176083508,NA,cochineal bug,msma,Med,Car,Primary,evidence of moth. needs biocontrol,NA,2020 - Quarter 2,prickly pear,needs biological control,2020-06-22T13:21:51Z,30.84515,-24.19106,2020 - Quarter 2,Both
Pp Bugs. Large Walk 6c,NA,-24.1794,30.86964,7324262.71028714,283586.869019126,NA,cochineal bug,-,High,Foot,Secondary,NA,NA,2020 - Quarter 3,prickly pear,NA,2020-07-30T11:49:44Z,30.86964,-24.1794,2020 - Quarter 3,Bio
Pp C3 Med 5c Evidence Of Moth. Untreated,NA,-24.19651,30.93444,7322466.325691979,290199.53713901,NA,-,-,Med,Car,Primary,evidence of moth,NA,2020 - Quarter 3,prickly pear,NA,2020-08-27T12:51:32Z,30.93444,-24.19651,2020 - Quarter 3,Untreated
Pp Car 7c Bugs,NA,-24.21916,30.89929,7319904.21842367,286666.000413241,NA,cochineal bug,-,High,Car,Primary,NA,NA,2020 - Quarter 3,prickly pear,NA,NA,30.89929,-24.21916,NA,Bio
Pp Car 7c Bugs,NA,-24.21916,30.89929,7319904.21842367,286666.000413241,NA,cochineal bug,NA,High,Car,Primary,NA,NA,2020 - Quarter 3,prickly pear,NA,2020-07-09T15:10:36Z,30.89929,-24.21916,2020 - Quarter 3,Bio
Pp Car 8c Bugs,NA,-24.17798,30.85362,7324395.10449393,281956.551408447,NA,cochineal bug,NA,High,Car,Primary,NA,NA,2020 - Quarter 4,prickly pear,NA,2020-12-09T12:08:01Z,30.85362,-24.17798,2020 - Quarter 4,Bio
Pp Car Both,NA,-24.21496,30.8227,7320250.24175365,278878.321357077,NA,cochineal bug,msma,Med,Car,Primary,NA,-,2020 - Quarter 2,prickly pear,Treated,NA,30.8227,-24.21496,NA,Both
Pp Car Both,NA,-24.21496,30.8227,7320250.24175365,278878.321357077,NA,cochineal bug,msma,Med,Car,Primary,NA,NA,2020 - Quarter 2,prickly pear,NA,NA,30.8227,-24.21496,NA,Both
Pp Car Both Med,NA,-24.21409,30.82909,7320356.72004325,279525.984803053,NA,cochineal bug,msma,Med,Car,Primary,NA,-,2020 - Quarter 2,prickly pear,Treated,NA,30.82909,-24.21409,NA,Both
Pp Car Both Med,NA,-24.21409,30.82909,7320356.72004325,279525.984803053,NA,cochineal bug,msma,Med,Car,Primary,NA,NA,2020 - Quarter 2,prickly pear,NA,NA,30.82909,-24.21409,NA,Both
pp Car Bugs 4c,NA,-24.21074792,30.83251777,7320732.33199492,279868.468123204,NA,cochineal bug,-,Med,Car,Primary,NA,NA,2020 - Quarter 2,prickly pear,NA,2020-06-29T10:07:43Z,30.83251777,-24.21074792,2020 - Quarter 2,Bio
PP Car Bugs 4c,NA,-24.21075,30.83252,7320732.10510987,279868.69825242,NA,cochineal bug,-,Med,Car,Primary,needs chemical control,4 cladodes,2020 - Quarter 2,prickly pear,Treated,NA,30.83252,-24.21075,NA,Bio
Pp Car Bugs Med,NA,-24.21332,30.82389,7320433.78989236,278996.382665354,NA,cochineal bug,-,Med,Car,Primary,needs chemical control,-,2020 - Quarter 2,prickly pear,Treated,NA,30.82389,-24.21332,NA,Bio
Pp Car Bugs Med 4c,NA,-24.19173,30.8868,7322923.41480992,285351.249469382,NA,cochineal bug,-,Med,Car,Primary,NA,NA,2020 - Quarter 3,prickly pear,NA,NA,30.8868,-24.19173,NA,Bio
Pp Car Bugs Med 4c,NA,-24.19173,30.8868,7322923.41480992,285351.249469382,NA,cochineal bug,NA,Med,Car,Primary,NA,NA,2020 - Quarter 3,prickly pear,NA,2020-07-03T09:00:50Z,30.8868,-24.19173,2020 - Quarter 3,Bio
Pp Car Bugs Med. Update 1st August - Bugs Didnтt Take. Part Dying From Spray. Spray Again,NA,-24.21332412,30.82389363,7320433.339265671,278996.758555504,NA,cochineal bug,msma,Med,Car,Primary,NA,NA,2020 - Quarter 2,prickly pear,NA,2020-06-09T14:44:33Z,30.82389363,-24.21332412,2020 - Quarter 2,Both
Pp Car Large Already Treated With Bugs. Didnt Take So Need More,NA,-24.19275,30.88542,7322808.311426081,285212.742674443,NA,cochineal bug,-,High,Car,Primary,needs more bugs,NA,2020 - Quarter 3,prickly pear,NA,NA,30.88542,-24.19275,NA,Bio
Pp Car Large Already Treated With Bugs. Didnтt Take So Need More,NA,-24.19275,30.88542,7322808.311426081,285212.742674443,NA,cochineal bug,-,High,Car,Primary,bugs didnt spread. needs biocontrol,NA,2020 - Quarter 3,prickly pear,needs biological control,2020-07-30T15:11:05Z,30.88542,-24.19275,2020 - Quarter 3,Bio
Pp Car Large Dense Bugs 9c Fruiting.,NA,-24.20835,30.89376,7321093.14556765,286086.180450927,NA,cochineal bug,-,High,Car,Primary,NA,NA,2020 - Quarter 3,prickly pear,NA,NA,30.89376,-24.20835,NA,Bio
Pp Car Large Dense Bugs 9c Fruiting. Update 15 September Bugs Have Taken,NA,-24.20835,30.89376,7321093.14556765,286086.180450927,NA,cochineal bug,-,High,Car,Primary,bugs have taken,NA,2020 - Quarter 3,prickly pear,NA,2020-07-09T13:57:01Z,30.89376,-24.20835,2020 - Quarter 3,Bio
Pp Car Med 5c Evidence Of Moth. Untreated,NA,-24.19651,30.93444,7322466.325691979,290199.53713901,NA,-,-,Med,Car,Primary,untreated,NA,2020 - Quarter 3,prickly pear,NA,NA,30.93444,-24.19651,NA,Untreated
PP Car nursery 3c,NA,-24.2136,30.83322,7320417.51449611,279944.712214103,NA,-,-,Low,Car,Primary,removed to nursery,3 cladodes,2020 - Quarter 2,prickly pear,Treated,NA,30.83322,-24.2136,NA,Removed
pp car small bugs,NA,-24.21551,30.8283,7320198.17834236,279448.174577772,NA,cochineal bug,-,Low,Car,Primary,needs chemical control,3 cladodes,2020 - Quarter 2,prickly pear,Treated,NA,30.8283,-24.21551,NA,Bio
Pp Dead Spray And Bugs. Dead From Spray Bugs Did Spread Though,NA,-24.20042,30.81822,7321853.74145783,278398.035193056,NA,cochineal bug,msma,Med,Car,Primary,update - dead,-,2020 - Quarter 2,prickly pear,Treated,NA,30.81822,-24.20042,NA,Dead
Pp Dead Spray And Bugs. Dead From Spray Bugs Did Spread Though,NA,-24.20042,30.81822,7321853.74145783,278398.035193056,NA,cochineal bug,msma,Med,Car,Primary,NA,NA,2020 - Quarter 2,prickly pear,NA,NA,30.81822,-24.20042,NA,Both
Pp Dense Large Car Bugs 8c,NA,-24.21199,30.94749,7320771.23113649,291550.60963608,NA,cochineal bug,-,High,Car,Primary,NA,NA,2020 - Quarter 3,prickly pear,NA,NA,30.94749,-24.21199,NA,Bio
Pp Dense Large Car Bugs 8c,NA,-24.21199,30.94749,7320771.23113649,291550.60963608,NA,cochineal bug,-,High,Car,Primary,NA,NA,2020 - Quarter 3,prickly pear,NA,2020-09-03T10:14:31Z,30.94749,-24.21199,2020 - Quarter 3,Bio
Pp Dense Med Car Spray 6c,NA,-24.19003,30.88923,7323115.449868821,285595.308005942,NA,-,msma,Med,Car,Primary,NA,NA,2020 - Quarter 3,prickly pear,NA,NA,30.88923,-24.19003,NA,Chemical
Pp Dense Med Car Spray 6c,NA,-24.19003,30.88923,7323115.449868821,285595.308005942,NA,-,msma,Med,Car,Primary,NA,NA,2020 - Quarter 3,prickly pear,NA,2020-07-03T09:19:36Z,30.88923,-24.19003,2020 - Quarter 3,Chemical
Pp Dense Motherload. Already Spray And Bugs. Rejuvenating But Bugs Have Spread. Added More Bugs,NA,-24.2133,30.82859,7320443.43861328,279473.828529981,NA,cochineal bug,msma,High,Car,Primary,"update - bugs have spread, spray killed part of plant",-,2020 - Quarter 2,prickly pear,Treated,NA,30.82859,-24.2133,NA,Both
Pp Dense Motherload. Already Spray And Bugs. Rejuvenating But Bugs Have Spread. Added More Bugs,NA,-24.21330498,30.82858914,7320442.88561928,279473.749739772,NA,cochineal bug,msma,High,Car,Primary,NA,NA,2020 - Quarter 2,prickly pear,NA,2020-06-09T11:54:47Z,30.82858914,-24.21330498,2020 - Quarter 2,Both
Pp Dense Small Lots Of Them Bugs,NA,-24.21536508,30.82264254,7320205.27982479,278873.183720291,NA,cochineal bug,-,Low,Car,Primary,NA,NA,2020 - Quarter 3,prickly pear,NA,2020-08-01T09:30:56Z,30.82264254,-24.21536508,2020 - Quarter 3,Bio
Pp Extra large Car Bugs 13c Fruiting,NA,-24.21614,30.93698,7320295.82350743,290489.716030315,NA,cochineal bug,-,High,Car,Primary,NA,NA,2020 - Quarter 3,prickly pear,NA,NA,30.93698,-24.21614,NA,Bio
